node,send_comm,recv_comm,bimod_score
720575940624986919,0,0,0.9628708276646104
720575940625934094,0,0,0.9628708276646104
720575940625905848,0,0,0.9628708276646104
720575940625878160,0,0,0.9628708276646104
720575940625874992,0,0,0.9628708276646104
720575940625871408,0,0,0.9628708276646104
720575940625870640,0,0,0.9628708276646104
720575940625784153,0,0,0.9628708276646104
720575940625779642,0,0,0.9628708276646104
720575940625741287,0,0,0.9628708276646104
720575940625656980,0,0,0.9628708276646104
720575940625585508,0,0,0.9628708276646104
720575940625563623,0,0,0.9628708276646104
720575940625550823,0,0,0.9628708276646104
720575940625525740,0,0,0.9628708276646104
720575940625502666,0,0,0.9628708276646104
720575940625441003,0,0,0.9628708276646104
720575940626624275,0,0,0.9628708276646104
720575940626591875,0,0,0.9628708276646104
720575940626555440,0,0,0.9628708276646104
720575940626462014,0,0,0.9628708276646104
720575940626403917,0,0,0.9628708276646104
720575940626342174,0,0,0.9628708276646104
720575940626315010,0,0,0.9628708276646104
720575940626309562,0,0,0.9628708276646104
720575940626246525,0,0,0.9628708276646104
720575940626201372,0,0,0.9628708276646104
720575940626143806,0,0,0.9628708276646104
720575940626112062,0,0,0.9628708276646104
720575940626044942,0,0,0.9628708276646104
720575940626039996,0,0,0.9628708276646104
720575940625992781,0,0,0.9628708276646104
720575940627015196,0,0,0.9628708276646104
720575940626979621,0,0,0.9628708276646104
720575940626977947,0,0,0.9628708276646104
720575940626960536,0,0,0.9628708276646104
720575940626887198,0,0,0.9628708276646104
720575940626872932,0,0,0.9628708276646104
720575940626848275,0,0,0.9628708276646104
720575940626818085,0,0,0.9628708276646104
720575940626783065,0,0,0.9628708276646104
720575940626768442,0,0,0.9628708276646104
720575940626730883,0,0,0.9628708276646104
720575940626694288,0,0,0.9628708276646104
720575940626682129,0,0,0.9628708276646104
720575940626675837,0,0,0.9628708276646104
720575940626663953,0,0,0.9628708276646104
720575940626630693,0,0,0.9628708276646104
720575940627253604,0,0,0.9628708276646104
720575940627252798,0,0,0.9628708276646104
720575940627250238,0,0,0.9628708276646104
720575940627206842,0,0,0.9628708276646104
720575940627204362,0,0,0.9628708276646104
720575940627139530,0,0,0.9628708276646104
720575940627139258,0,0,0.9628708276646104
720575940627110824,0,0,0.9628708276646104
720575940627107721,0,0,0.9628708276646104
720575940627087646,0,0,0.9628708276646104
720575940627083397,0,0,0.9628708276646104
720575940627076964,0,0,0.9628708276646104
720575940627068772,0,0,0.9628708276646104
720575940627053861,0,0,0.9628708276646104
720575940627042064,0,0,0.9628708276646104
